condition,mode,n_participants,mean_clean_reference_macro_dice,median_clean_reference_macro_dice,mean_mean_absolute_volume_drift_pct,median_mean_absolute_volume_drift_pct,mean_median_absolute_volume_drift_pct,median_median_absolute_volume_drift_pct,mean_runtime_seconds,median_runtime_seconds
bias_moderate,robust,4,0.99304072,0.99291545,0.37902329,0.36381196,0.21538239,0.21621193,381.65950000,378.98300000
bias_moderate,standard,4,0.99501635,0.99508065,0.28339096,0.27012458,0.19221098,0.19720409,452.41350000,452.97700000
bias_strong,robust,4,0.98732771,0.98699682,0.76246771,0.72048973,0.44244012,0.42528131,386.79700000,385.51550000
bias_strong,standard,4,0.98993875,0.98968533,0.56090238,0.53837740,0.37330028,0.37565909,465.89850000,462.34400000
bias_strong_n4,robust,4,0.99335134,0.99340958,0.31006508,0.31558755,0.19264672,0.19860517,392.22100000,385.85000000
bias_strong_n4,standard,4,0.99499614,0.99511053,0.25754160,0.25973616,0.20234833,0.19937678,461.03875000,461.62900000
clean,robust,4,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,381.94925000,385.90200000
clean,standard,4,1.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,477.81625000,479.25900000
noise_mild,robust,4,0.98906178,0.98906992,0.32326538,0.32019939,0.24565509,0.23863284,388.39950000,383.38350000
noise_mild,standard,4,0.98847180,0.98853540,0.38432312,0.38553377,0.24547799,0.23245343,449.13100000,445.45800000
noise_moderate,robust,4,0.98100380,0.98056577,0.71947761,0.71081102,0.52532847,0.50967872,384.11075000,382.13200000
noise_moderate,standard,4,0.97547853,0.97529419,0.99384561,1.00857250,0.71985845,0.71517375,445.07250000,445.17300000
resolution_2mm,robust,4,0.86189171,0.86206624,3.15179206,3.20525302,2.75829715,2.95919435,401.84125000,391.93900000
resolution_2mm,standard,4,0.85510308,0.85337456,6.66370155,6.49978058,5.01467523,5.05048088,491.02400000,483.60150000
resolution_3mm,robust,4,0.86367829,0.86451133,5.87044385,5.68377209,5.20982511,4.99089528,436.79600000,434.70700000
resolution_3mm,standard,4,0.85036414,0.84851405,8.74141108,9.03949669,7.26280142,7.81227566,536.70775000,542.45200000
