dataset_id,dataset_version,participant,condition,mode,runtime_seconds,label_count,clean_reference_macro_dice,mean_absolute_volume_drift_pct,median_absolute_volume_drift_pct,qc_value
ds005125,1.0.0,sub-01,clean,standard,440.0,32,1.00000000,0.00000000,0.00000000,0.8505
ds005125,1.0.0,sub-01,resolution_2mm,standard,461.847,32,0.84532848,6.93616317,5.28097311,0.8726
ds005125,1.0.0,sub-01,resolution_3mm,standard,514.717,32,0.84320178,9.89653326,7.82437211,0.8631
ds005125,1.0.0,sub-01,noise_mild,standard,415.784,32,0.98875591,0.38076027,0.23628090,0.8519
ds005125,1.0.0,sub-01,noise_moderate,standard,451.51,32,0.97608354,0.94577412,0.78757364,0.8482
ds005125,1.0.0,sub-01,bias_moderate,standard,471.672,32,0.99494429,0.24302307,0.16093138,0.8502
ds005125,1.0.0,sub-01,bias_strong,standard,482.841,32,0.98946310,0.51704538,0.43891578,0.8507
ds005125,1.0.0,sub-01,bias_strong_n4,standard,437.751,32,0.99436134,0.21764481,0.20623110,0.8489
ds005125,1.0.0,sub-01,clean,robust,362.879,32,1.00000000,0.00000000,0.00000000,0.835
ds005125,1.0.0,sub-01,resolution_2mm,robust,398.081,32,0.85207844,3.29356623,3.31501342,0.8511
ds005125,1.0.0,sub-01,resolution_3mm,robust,416.226,32,0.86167633,6.04930493,5.40700300,0.8492
ds005125,1.0.0,sub-01,noise_mild,robust,385.128,32,0.98808084,0.36646970,0.32129332,0.8439
ds005125,1.0.0,sub-01,noise_moderate,robust,382.75,32,0.97919732,0.76099759,0.48747567,0.8416
ds005125,1.0.0,sub-01,bias_moderate,robust,372.407,32,0.99310375,0.37639632,0.22596420,0.8483
ds005125,1.0.0,sub-01,bias_strong,robust,381.276,32,0.98722998,0.68294981,0.33443442,0.8487
ds005125,1.0.0,sub-01,bias_strong_n4,robust,385.754,32,0.99314969,0.32923093,0.21384478,0.8475
ds005125,1.0.0,sub-02,clean,standard,467.127,32,1.00000000,0.00000000,0.00000000,0.8524
ds005125,1.0.0,sub-02,resolution_2mm,standard,544.201,32,0.85295021,8.28214054,5.33812516,0.8876
ds005125,1.0.0,sub-02,resolution_3mm,standard,547.21,32,0.83760267,10.85583110,8.60508825,0.8634
ds005125,1.0.0,sub-02,noise_mild,standard,489.824,32,0.98781147,0.36435537,0.30751139,0.8539
ds005125,1.0.0,sub-02,noise_moderate,standard,438.836,32,0.97308816,1.07137088,0.70129026,0.8494
ds005125,1.0.0,sub-02,bias_moderate,standard,452.709,32,0.99521702,0.28629960,0.18833353,0.8652
ds005125,1.0.0,sub-02,bias_strong,standard,464.672,32,0.98990757,0.55970943,0.33161756,0.8656
ds005125,1.0.0,sub-02,bias_strong_n4,standard,465.314,32,0.99540215,0.25785726,0.25045964,0.8635
ds005125,1.0.0,sub-02,clean,robust,391.412,32,1.00000000,0.00000000,0.00000000,0.8376
ds005125,1.0.0,sub-02,resolution_2mm,robust,438.69,32,0.86498510,3.36781887,3.27455473,0.8458
ds005125,1.0.0,sub-02,resolution_3mm,robust,442.091,32,0.85792786,6.83045644,6.36918558,0.8435
ds005125,1.0.0,sub-02,noise_mild,robust,381.639,32,0.98767004,0.28774401,0.18406136,0.8373
ds005125,1.0.0,sub-02,noise_moderate,robust,394.419,32,0.97975173,0.69529080,0.46523173,0.8364
ds005125,1.0.0,sub-02,bias_moderate,robust,385.201,32,0.99272715,0.35122760,0.20645966,0.8376
ds005125,1.0.0,sub-02,bias_strong,robust,403.692,32,0.98676366,0.75802965,0.51612820,0.8378
ds005125,1.0.0,sub-02,bias_strong_n4,robust,416.737,32,0.99339310,0.27985428,0.20174388,0.8374
ds005125,1.0.0,sub-03,clean,standard,512.747,32,1.00000000,0.00000000,0.00000000,0.8555
ds005125,1.0.0,sub-03,resolution_2mm,standard,505.356,32,0.85379892,6.06339800,4.61961401,0.878
ds005125,1.0.0,sub-03,resolution_3mm,standard,545.702,32,0.85382632,8.18246012,7.80017921,0.865
ds005125,1.0.0,sub-03,noise_mild,standard,453.484,32,0.98831490,0.39030727,0.20949368,0.8554
ds005125,1.0.0,sub-03,noise_moderate,standard,453.907,32,0.97450484,1.12791276,0.66151266,0.8467
ds005125,1.0.0,sub-03,bias_moderate,standard,453.245,32,0.99449595,0.35029161,0.20607466,0.8575
ds005125,1.0.0,sub-03,bias_strong,standard,456.065,32,0.98913074,0.67439067,0.41970061,0.8578
ds005125,1.0.0,sub-03,bias_strong_n4,standard,483.146,32,0.99489771,0.29304927,0.16018014,0.8557
ds005125,1.0.0,sub-03,clean,robust,393.114,32,1.00000000,0.00000000,0.00000000,0.8407
ds005125,1.0.0,sub-03,resolution_2mm,robust,384.797,32,0.85914738,2.82884333,2.64383397,0.8537
ds005125,1.0.0,sub-03,resolution_3mm,robust,461.544,32,0.86776267,5.28377479,4.57478757,0.8506
ds005125,1.0.0,sub-03,noise_mild,robust,407.594,32,0.99005901,0.28619302,0.21937450,0.8407
ds005125,1.0.0,sub-03,noise_moderate,robust,381.514,32,0.98137981,0.70246563,0.53188177,0.8413
ds005125,1.0.0,sub-03,bias_moderate,robust,396.265,32,0.99266368,0.45329397,0.26537502,0.8407
ds005125,1.0.0,sub-03,bias_strong,robust,389.755,32,0.98616121,1.00815438,0.59047566,0.8417
ds005125,1.0.0,sub-03,bias_strong_n4,robust,385.946,32,0.99343650,0.30755163,0.15953175,0.8411
ds005125,1.0.0,sub-04,clean,standard,491.391,32,1.00000000,0.00000000,0.00000000,0.8403
ds005125,1.0.0,sub-04,resolution_2mm,standard,452.692,32,0.86833473,5.37310449,4.81998865,0.8724
ds005125,1.0.0,sub-04,resolution_3mm,standard,539.202,32,0.86682577,6.03081982,4.82156611,0.8598
ds005125,1.0.0,sub-04,noise_mild,standard,437.432,32,0.98900491,0.40186959,0.22862597,0.8414
ds005125,1.0.0,sub-04,noise_moderate,standard,436.037,32,0.97823758,0.83032468,0.72905724,0.8508
ds005125,1.0.0,sub-04,bias_moderate,standard,432.028,32,0.99540814,0.25394956,0.21350435,0.8412
ds005125,1.0.0,sub-04,bias_strong,standard,460.016,32,0.99125357,0.49246404,0.30296717,0.8425
ds005125,1.0.0,sub-04,bias_strong_n4,standard,457.944,32,0.99532335,0.26161505,0.19252246,0.8362
ds005125,1.0.0,sub-04,clean,robust,380.392,32,1.00000000,0.00000000,0.00000000,0.849
ds005125,1.0.0,sub-04,resolution_2mm,robust,385.797,32,0.87135594,3.11693980,1.79978649,0.8565
ds005125,1.0.0,sub-04,resolution_3mm,robust,427.323,32,0.86734632,5.31823925,4.48832430,0.8484
ds005125,1.0.0,sub-04,noise_mild,robust,379.237,32,0.99043722,0.35265478,0.25789119,0.8473
ds005125,1.0.0,sub-04,noise_moderate,robust,377.76,32,0.98368632,0.71915642,0.61672470,0.8474
ds005125,1.0.0,sub-04,bias_moderate,robust,372.765,32,0.99366832,0.33517527,0.16373066,0.8545
ds005125,1.0.0,sub-04,bias_strong,robust,372.465,32,0.98915601,0.60073701,0.32872220,0.8576
ds005125,1.0.0,sub-04,bias_strong_n4,robust,380.447,32,0.99342607,0.32362347,0.19546647,0.8544
